一	0.9674	5087014
一个	1.0000	1338744
两	0.9963	1157278
三	0.9993	1051776
1	1.0000	905908
3	1.0000	796519
2	1.0000	741801
第一	0.9998	597636
5	1.0000	535582
4	1.0000	525300
一些	0.9999	467507
二	0.9960	445824
四	0.9977	438038
几	0.9950	426215
10	1.0000	411631
很多	1.0000	411426
首	0.9391	367005
6	1.0000	390655
第二	0.9997	334265
余	0.9441	285676
五	0.9971	296585
7	1.0000	285862
8	1.0000	273840
20	1.0000	257531
第三	0.9996	220366
全部	0.9991	215747
左右	0.9709	207777
十	0.9945	207749
9	1.0000	195405
万	0.9767	188066
30	1.0000	188469
半	0.9909	183812
不少	1.0000	183660
大量	0.9996	175524
100	1.0000	170946
12	1.0000	169622
六	0.9973	163708
15	1.0000	151610
11	0.9925	149287
0	1.0000	143578
多次	0.9999	134188
50	1.0000	133351
一下	0.9979	132616
2019	1.0000	132830
许多	0.9998	113088
40	1.0000	107644
200	1.0000	105446
18	1.0000	101156
十分	0.9096	100226
八	0.9944	99567
16	1.0000	99966
13	1.0000	97029
500	1.0000	96943
第四	0.9995	95488
2018	1.0000	94967
14	1.0000	94870
七	0.9954	94348
24	1.0000	91894
百	0.9981	86296
21	1.0000	85610
60	1.0000	82934
一点	0.9941	80977
70	1.0000	77809
17	1.0000	77786
1000	1.0000	76954
25	1.0000	76880
大部分	0.9855	75582
一路	0.9942	76205
众多	0.9999	76001
300	1.0000	75179
亿	0.9673	71076
19	1.0000	72856
90	1.0000	69670
九	0.9959	66328
80	1.0000	66294
多种	0.9997	64484
零	0.9850	63248
2000	1.0000	60775
10%	1.0000	59116
10万	1.0000	57843
22	0.9975	57399
400	1.0000	56431
100%	1.0000	55922
千	0.9970	55081
20%	1.0000	55179
多年	1.0000	53707
％	0.9553	49202
50%	1.0000	51418
28	1.0000	51304
第五	0.9994	50001
23	1.0000	49519
5000	1.0000	49385
3000	1.0000	48556
26	1.0000	47708
30%	1.0000	47438
大多数	0.9991	46747
2017	1.0000	43651
35	1.0000	43147
2016	1.0000	41910
诸多	0.9986	41743
多数	0.9964	41007
十九	1.0000	40304
5%	1.0000	40266
27	1.0000	40174
5万	1.0000	40023
1万	1.0000	39714
360	1.0000	39580
100万	1.0000	39150
120	1.0000	39126
36	1.0000	38710
2015	1.0000	38358
一半	0.9999	38203
31	1.0000	37481
2万	1.0000	36916
29	1.0000	36714
20万	1.0000	36504
32	1.0000	36093
10亿	1.0000	34898
一部分	0.9985	33855
2020	0.9999	33085
150	1.0000	33039
45	1.0000	32668
110	1.0000	32368
3万	1.0000	32237
第六	0.9994	31834
80%	1.0000	31530
50万	1.0000	31029
几十	0.9999	30639
183	1.0000	30340
不久	0.9745	29500
600	1.0000	30268
40%	1.0000	29954
01	1.0000	29920
0167	1.0000	29720
十几	1.0000	29591
若干	0.9897	29253
1亿	1.0000	29072
大宗	0.9944	28007
70%	1.0000	27789
800	1.0000	27704
33	0.9972	27588
1421	1.0000	27491
30万	1.0000	27218
90%	1.0000	26847
少数	0.9567	25610
百万	1.0000	26246
58	1.0000	25959
60%	1.0000	25895
15%	1.0000	25850
1.5	1.0000	25832
2.5	1.0000	25493
4000	1.0000	25488
第七	0.9994	25290
二十	0.9985	24677
163	1.0000	24676
十八	1.0000	24412
1500	1.0000	23915
38	1.0000	23584
34	1.0000	23545
02	1.0000	23539
1000万	1.0000	23430
48	1.0000	23279
700	1.0000	23098
1%	1.0000	23045
2%	1.0000	22817
无数	0.9981	22567
3%	1.0000	21866
2014	1.0000	21725
39	1.0000	21606
55	0.9974	21419
37	1.0000	21260
数十	1.0000	21173
2亿	1.0000	21154
03	1.0000	20869
6000	1.0000	20434
51	1.0000	20364
俩	0.9941	20217
第八	0.9991	19983
500万	1.0000	19743
好几	1.0000	19696
11558578	1.0000	19592
25%	1.0000	19555
65	1.0000	19215
42	1.0000	18916
4万	1.0000	18727
5亿	1.0000	18702
200万	1.0000	18531
130	1.0000	18378
十三	1.0000	17990
百亿	1.0000	17904
十一	0.9980	17866
十二	1.0000	17779
8000	1.0000	17613
46	1.0000	17542
第九	0.9994	17515
5000万	1.0000	17522
百年	0.9970	17339
10000	1.0000	17168
一番	1.0000	17128
3亿	1.0000	16970
2.0	1.0000	16854
一万	0.9999	16798
41	1.0000	16669
52	1.0000	16603
2000万	1.0000	16596
180	1.0000	16589
2013	1.0000	16297
6万	1.0000	16180
43	1.0000	16102
44	0.9926	15873
一百	0.9934	15699
8%	1.0000	15600
04	1.0000	15595
20亿	1.0000	15581
95	1.0000	15529
第十	0.9992	15485
737	1.0000	15424
几百	1.0000	15423
300万	1.0000	15410
64	1.0000	15281
47	1.0000	15176
1200	1.0000	15156
6%	1.0000	15078
75	1.0000	15015
好多	1.0000	14946
千亿	1.0000	14746
49	1.0000	14708
250	1.0000	14599
56	1.0000	14591
99	0.9769	14214
三四	1.0000	14458
15万	1.0000	14303
4%	1.0000	14159
数百	0.9999	14066
大批	0.9994	13970
一两	0.9999	13977
3000万	1.0000	13966
85	1.0000	13709
53	1.0000	13706
三十	0.9995	13699
100亿	1.0000	13687
多样	0.9501	12819
0.5	1.0000	13371
8万	1.0000	13203
一个个	1.0000	13083
160	1.0000	13011
7%	1.0000	12922
第2	1.0000	12885
第1	1.0000	12851
05	1.0000	12846
240	1.0000	12711
54	1.0000	12637
40万	1.0000	12603
60万	1.0000	12572
